iter	Logloss
0	0.6608229601
5	0.5552892361
10	0.5040371528
15	0.4782574219
20	0.4648851128
25	0.457205599
30	0.4525851563
35	0.4497072049
40	0.4477230035
45	0.4462638021
50	0.4451486111
55	0.4443226997
60	0.4435576389
65	0.4429539062
70	0.4424250868
75	0.4419389323
80	0.4415088108
85	0.4411090278
90	0.4407973524
95	0.4404097222
100	0.4401152778
105	0.4398135851
110	0.4395494792
115	0.4392978733
120	0.4390349826
125	0.4388092014
130	0.4385895833
135	0.4383541233
140	0.4381475694
145	0.437956684
150	0.437750651
155	0.4375329427
160	0.437325434
165	0.4371282986
170	0.4369378472
175	0.4367400174
180	0.4365159288
185	0.4363355469
190	0.4361503472
195	0.4359387153
200	0.4357601128
205	0.4355759549
210	0.4354009549
215	0.4352549045
220	0.4350802083
225	0.4348957465
230	0.4346967882
235	0.4345250868
240	0.4343483507
245	0.434184375
250	0.4340311198
255	0.4338525608
260	0.4336919705
265	0.4335335069
270	0.433371441
275	0.4332154948
280	0.4330586806
285	0.4328956597
290	0.4327574653
295	0.4326276042
300	0.4324684896
305	0.4322913628
310	0.4321291233
315	0.4319853733
320	0.4318480469
325	0.4317179253
330	0.4315892795
335	0.4314508681
340	0.4313340278
345	0.4311798177
350	0.4310476997
355	0.4308983507
360	0.4307545139
365	0.4306315538
370	0.430502908
375	0.4303642361
380	0.4302368056
385	0.4301032118
390	0.4299644097
395	0.4298240017
400	0.4296867187
405	0.4295527778
410	0.4294002604
415	0.4293019965
420	0.4291673611
425	0.4290433594
430	0.4289294705
435	0.4287950521
440	0.4286615451
445	0.4285133681
450	0.4283960069
455	0.4282827257
460	0.4281530382
465	0.4280332031
470	0.4279206597
475	0.4278052517
480	0.4276907986
485	0.4275529514
490	0.4274314236
495	0.4273114149
500	0.4271869358
505	0.4270663628
510	0.4269538628
515	0.4268230469
520	0.4267186198
525	0.4266072049
530	0.426478559
535	0.4263562934
540	0.4262451823
545	0.4261296875
550	0.4260039497
555	0.4258968316
560	0.4257736979
565	0.4256619358
570	0.4255354167
575	0.4254138455
580	0.4253020399
585	0.4252018229
590	0.4250898872
595	0.4249695312
600	0.4248422309
605	0.4247337674
610	0.4246119792
615	0.4244784722
620	0.4243701823
625	0.4242544705
630	0.4241412326
635	0.4240243056
640	0.4239162326
645	0.4237965278
650	0.4236909722
655	0.4235748698
660	0.4234487413
665	0.4233280382
670	0.4232158854
675	0.4230992188
680	0.4229940104
685	0.4228837674
690	0.4227716146
695	0.4226597222
700	0.4225451389
705	0.4224414497
710	0.4223203125
715	0.4222110243
720	0.4221205729
725	0.4220022569
730	0.4219008247
735	0.4217955729
740	0.4216885851
745	0.421569401
750	0.4214481771
755	0.4213494792
760	0.4212498698
765	0.4211381944
770	0.4210233507
775	0.4209244792
780	0.4208190972
785	0.4206998264
790	0.4205812066
795	0.420469184
800	0.4203464844
805	0.4202404948
810	0.4201361979
815	0.4200217882
820	0.4199141493
825	0.4197998698
830	0.4196914063
835	0.4195877604
840	0.4194796441
845	0.4193876736
850	0.4192746528
855	0.4191646701
860	0.4190530382
865	0.4189428385
870	0.4188416667
875	0.4187296875
880	0.4186234809
885	0.4185332465
890	0.4184370226
895	0.4183442274
900	0.4182503038
905	0.4181503038
910	0.4180525174
915	0.4179338542
920	0.417833724
925	0.4177276042
930	0.4176220486
935	0.4174927951
940	0.4173927517
945	0.4172903212
950	0.4171884549
955	0.4170748698
960	0.4169697917
965	0.4168612847
970	0.4167543837
975	0.4166548611
980	0.4165445313
985	0.4164292969
990	0.416315408
995	0.4162115017
999	0.4161141927
