iter	Passed	Remaining
0	13	134834
1	25	127714
2	38	127846
3	50	125242
4	62	124334
5	75	125052
6	86	123910
7	99	123815
8	112	124850
9	124	124853
10	137	125269
11	150	125319
12	162	125019
13	175	124926
14	188	125242
15	201	125600
16	213	125628
17	226	125660
18	238	125296
19	250	125102
20	262	124780
21	274	124645
22	287	124736
23	299	124545
24	312	124650
25	324	124314
26	336	124159
27	348	124173
28	361	124187
29	374	124321
30	386	124396
31	399	124437
32	411	124362
33	423	124084
34	435	123878
35	446	123645
36	458	123404
37	470	123294
38	482	123342
39	495	123307
40	507	123290
41	520	123388
42	532	123407
43	545	123446
44	557	123417
45	570	123536
46	583	123475
47	594	123251
48	606	123252
49	618	123045
50	630	123020
51	642	122991
52	654	122846
53	666	122714
54	677	122558
55	689	122502
56	701	122378
57	713	122335
58	726	122364
59	738	122328
60	750	122290
61	762	122282
62	774	122129
63	785	122014
64	797	121877
65	808	121723
66	820	121656
67	832	121659
68	845	121757
69	858	121771
70	870	121683
71	882	121694
72	894	121599
73	905	121486
74	917	121386
75	929	121387
76	942	121445
77	954	121406
78	967	121490
79	979	121402
80	991	121427
81	1003	121385
82	1015	121305
83	1026	121219
84	1038	121180
85	1051	121173
86	1063	121135
87	1074	121038
88	1086	120937
89	1097	120846
90	1109	120803
91	1121	120728
92	1133	120742
93	1144	120633
94	1156	120528
95	1168	120511
96	1179	120461
97	1192	120509
98	1203	120386
99	1215	120379
100	1227	120304
101	1239	120279
102	1251	120258
103	1263	120217
104	1275	120183
105	1287	120162
106	1299	120113
107	1310	120060
108	1323	120094
109	1334	119986
110	1347	120033
111	1359	120017
112	1370	119952
113	1382	119885
114	1394	119895
115	1406	119880
116	1419	119927
117	1432	119945
118	1444	119968
119	1457	119970
120	1467	119836
121	1479	119800
122	1491	119780
123	1503	119766
124	1515	119750
125	1527	119699
126	1540	119724
127	1551	119681
128	1564	119705
129	1576	119655
130	1588	119635
131	1599	119575
132	1612	119591
133	1623	119549
134	1636	119572
135	1647	119457
136	1659	119464
137	1671	119459
138	1683	119455
139	1696	119504
140	1708	119455
141	1720	119438
142	1732	119417
143	1744	119416
144	1757	119447
145	1768	119384
146	1781	119382
147	1792	119298
148	1803	119260
149	1816	119273
150	1828	119276
151	1840	119234
152	1851	119163
153	1864	119185
154	1876	119173
155	1887	119133
156	1899	119085
157	1911	119083
158	1923	119051
159	1935	119053
160	1948	119060
161	1959	119017
162	1971	118987
163	1983	118982
164	1995	118942
165	2007	118936
166	2020	118960
167	2032	118973
168	2044	118954
169	2056	118887
170	2067	118839
171	2078	118785
172	2091	118812
173	2103	118789
174	2115	118785
175	2128	118813
176	2140	118793
177	2152	118762
178	2164	118731
179	2176	118725
180	2187	118674
181	2199	118639
182	2210	118569
183	2222	118579
184	2234	118574
185	2247	118567
186	2257	118457
187	2268	118411
188	2280	118396
189	2291	118336
190	2302	118263
191	2314	118227
192	2326	118193
193	2337	118155
194	2349	118137
195	2360	118077
196	2372	118050
197	2384	118032
198	2395	117987
199	2407	117952
200	2418	117899
201	2430	117891
202	2441	117853
203	2454	117844
204	2466	117827
205	2478	117820
206	2488	117738
207	2500	117720
208	2512	117722
209	2524	117679
210	2536	117683
211	2548	117674
212	2560	117633
213	2572	117627
214	2584	117622
215	2596	117610
216	2608	117589
217	2619	117539
218	2631	117507
219	2642	117476
220	2655	117491
221	2667	117475
222	2679	117466
223	2690	117434
224	2702	117428
225	2714	117388
226	2726	117367
227	2737	117337
228	2750	117339
229	2761	117319
230	2773	117284
231	2784	117235
232	2796	117205
233	2807	117191
234	2820	117181
235	2832	117178
236	2843	117150
237	2855	117111
238	2866	117073
239	2878	117067
240	2890	117044
241	2901	117013
242	2914	117009
243	2925	116986
244	2937	116958
245	2949	116936
246	2960	116910
247	2972	116871
248	2983	116841
249	2995	116820
250	3007	116816
251	3018	116766
252	3029	116722
253	3041	116708
254	3054	116726
255	3066	116721
256	3077	116675
257	3089	116663
258	3101	116643
259	3113	116644
260	3125	116637
261	3137	116602
262	3148	116567
263	3159	116514
264	3172	116533
265	3183	116495
266	3194	116448
267	3206	116429
268	3218	116418
269	3230	116402
270	3241	116382
271	3253	116365
272	3265	116364
273	3277	116333
274	3289	116325
275	3300	116299
276	3313	116323
277	3326	116317
278	3337	116301
279	3349	116287
280	3360	116240
281	3371	116200
282	3383	116173
283	3395	116166
284	3407	116146
285	3419	116134
286	3430	116088
287	3442	116088
288	3454	116071
289	3465	116030
290	3477	116019
291	3489	116020
292	3501	115998
293	3513	115988
294	3525	115985
295	3536	115952
296	3548	115920
297	3560	115918
298	3572	115920
299	3583	115875
300	3595	115862
301	3606	115829
302	3618	115803
303	3629	115773
304	3641	115747
305	3654	115772
306	3666	115748
307	3678	115747
308	3690	115729
309	3701	115699
310	3714	115709
311	3724	115662
312	3736	115643
313	3747	115601
314	3758	115561
315	3770	115541
316	3782	115538
317	3794	115534
318	3806	115534
319	3817	115489
320	3828	115448
321	3839	115386
322	3851	115389
323	3863	115373
324	3874	115350
325	3885	115315
326	3896	115259
327	3907	115235
328	3920	115233
329	3931	115213
330	3943	115202
331	3956	115204
332	3967	115174
333	3979	115164
334	3991	115164
335	4002	115127
336	4014	115108
337	4026	115095
338	4038	115080
339	4050	115077
340	4061	115044
341	4073	115038
342	4085	115012
343	4096	114990
344	4108	114967
345	4119	114940
346	4130	114915
347	4141	114865
348	4153	114858
349	4165	114846
350	4177	114837
351	4187	114783
352	4199	114775
353	4211	114766
354	4223	114751
355	4235	114731
356	4247	114727
357	4258	114706
358	4270	114679
359	4282	114675
360	4294	114658
361	4305	114641
362	4318	114647
363	4329	114605
364	4340	114590
365	4352	114564
366	4365	114575
367	4376	114561
368	4389	114557
369	4400	114522
370	4411	114504
371	4423	114491
372	4435	114474
373	4446	114456
374	4458	114434
375	4470	114432
376	4482	114422
377	4493	114387
378	4506	114392
379	4517	114365
380	4529	114361
381	4541	114342
382	4552	114322
383	4564	114290
384	4575	114271
385	4587	114247
386	4598	114236
387	4609	114203
388	4621	114185
389	4633	114174
390	4645	114169
391	4657	114161
392	4668	114119
393	4679	114097
394	4690	114058
395	4702	114051
396	4714	114032
397	4725	114009
